TIMESTAMP,TA_F,P_F,PPFD_IN,LE_F_MDS,NEE_VUT_REF,GPP_DT_VUT_REF
20070101,-2.022,8.403,-9999,1.49503,1.26725,0.00170196
20070102,0.167,0.32,-9999,2.21446,0.700812,0.00174317
20070103,-0.082,0,-9999,5.51012,0.968809,0.00174379
20070104,2.692,0,-9999,6.35037,0.900665,0.00174449
20070105,3.516,1.095,-9999,-0.844451,0.717106,0.00173671
20070106,8.801,14.649,-9999,1.34559,0.704073,0.0017163
20070107,3.458,0,-9999,0.303325,0.272739,0.00174456
20070108,1.116,9.543,-9999,-0.998287,0.193709,0.00172184
20070109,1.163,0.005,-9999,-3.38111,0.0220016,0.00182973
20070110,-4.232,0,164.1833333,8.14991,-0.0933625,0.00194227
20070111,-7.795,0,144.4958333,1.53929,0.119093,0.00198962
20070112,0.284,0,37.19583333,-0.467514,0.357208,0.00243617
20070113,-1.517,0,72.50416667,-0.0186372,0.342908,0.00230958
20070114,-6.946,0,36.99375,-0.0313159,0.381376,0.00235931
20070115,-8.858,0,20.37916667,-0.561814,0.422952,0.00218746
20070116,-10.586,0,163.5854167,1.86815,0.416518,0.00205738
20070117,-19.991,0,205.8083333,0.28152,0.398924,0.00194758
20070118,-13.716,0,166.925,0.922422,0.345062,0.00275076
20070119,-2.58,0,69.76875,-1.09149,0.503978,0.00272162
20070120,-8.142,0,146.6916667,0.388165,0.408386,0.00194554
20070121,-13.281,0,216.51875,3.87415,0.42085,0.00194905
20070122,-13.053,0,183.3083333,2.54997,0.393909,0.00204239
20070123,-9.8,0,200.6458333,1.74777,0.369143,0.00194701
20070124,-8.187,0,138.4,1.14495,0.128941,0.00199557
20070125,-15.384,0,211.3,2.05526,0.189399,0.00194977
20070126,-18.825,0,228.7375,2.18326,0.155614,0.00194958
20070127,-14.504,0,221.0625,2.73485,0.144754,0.00195011
20070128,-12.139,0,212.4166667,2.75931,0.264746,0.0020388
20070129,-13.084,0,216.2875,3.06866,0.3093,0.00204671
20070130,-16.407,0,229.1770833,1.37225,0.128076,0.00195764
20070131,-14.985,0,183.49375,1.35082,-0.421883,0.0021229
20070201,-10.653,0,115.1791667,0.971366,-0.554482,0.00212847
20070202,-5.075,0,96.17083333,0.450567,-0.670702,0.00214956
